table_index,table,field_name
1,AllstarFull,playerID
2,AllstarFull,yearID
3,AllstarFull,gameNum
4,AllstarFull,game_id
5,AllstarFull,teamID
6,AllstarFull,lgID
7,AllstarFull,GP
8,AllstarFull,startingPos
1,Appearances,yearID
2,Appearances,teamID
3,Appearances,lgID
4,Appearances,playerID
5,Appearances,experience
6,Appearances,G_all
7,Appearances,GS
8,Appearances,G_batting
9,Appearances,G_defense
10,Appearances,G_p
11,Appearances,G_c
12,Appearances,G_1b
13,Appearances,G_2b
14,Appearances,G_3b
15,Appearances,G_ss
16,Appearances,G_lf
17,Appearances,G_cf
18,Appearances,G_rf
19,Appearances,G_of
20,Appearances,G_dh
21,Appearances,G_ph
22,Appearances,G_pr
1,AwardsManagers,managerID
2,AwardsManagers,awardID
3,AwardsManagers,yearID
4,AwardsManagers,lgID
5,AwardsManagers,tie
6,AwardsManagers,notes
1,AwardsPlayers,playerID
2,AwardsPlayers,awardID
3,AwardsPlayers,yearID
4,AwardsPlayers,lgID
5,AwardsPlayers,tie
6,AwardsPlayers,notes
1,AwardsShareManagers,awardID
2,AwardsShareManagers,yearID
3,AwardsShareManagers,lgID
4,AwardsShareManagers,managerID
5,AwardsShareManagers,pointsWon
6,AwardsShareManagers,pointsMax
7,AwardsShareManagers,votesFirst
1,AwardsSharePlayers,awardID
2,AwardsSharePlayers,yearID
3,AwardsSharePlayers,lgID
4,AwardsSharePlayers,playerID
5,AwardsSharePlayers,pointsWon
6,AwardsSharePlayers,pointsMax
7,AwardsSharePlayers,votesFirst
1,Batting,playerID
2,Batting,yearID
3,Batting,stint
4,Batting,teamID
5,Batting,lgID
6,Batting,G
7,Batting,G_batting
8,Batting,AB
9,Batting,R
10,Batting,H
11,Batting,2B
12,Batting,3B
13,Batting,HR
14,Batting,RBI
15,Batting,SB
16,Batting,CS
17,Batting,BB
18,Batting,SO
19,Batting,IBB
20,Batting,HBP
21,Batting,SH
22,Batting,SF
23,Batting,GIDP
24,Batting,G_old
1,BattingPost,yearID
2,BattingPost,round
3,BattingPost,playerID
4,BattingPost,teamID
5,BattingPost,lgID
6,BattingPost,G
7,BattingPost,AB
8,BattingPost,R
9,BattingPost,H
10,BattingPost,2B
11,BattingPost,3B
12,BattingPost,HR
13,BattingPost,RBI
14,BattingPost,SB
15,BattingPost,CS
16,BattingPost,BB
17,BattingPost,SO
18,BattingPost,IBB
19,BattingPost,HBP
20,BattingPost,SH
21,BattingPost,SF
22,BattingPost,GIDP
1,Fielding,playerID
2,Fielding,yearID
3,Fielding,stint
4,Fielding,teamID
5,Fielding,lgID
6,Fielding,POS
7,Fielding,G
8,Fielding,GS
9,Fielding,InnOuts
10,Fielding,PO
11,Fielding,A
12,Fielding,E
13,Fielding,DP
14,Fielding,PB
15,Fielding,WP
16,Fielding,SB
17,Fielding,CS
18,Fielding,pickoffs
19,Fielding,ZR
20,Fielding,missing_g_c
21,Fielding,missing_g
1,FieldingOF,playerID
2,FieldingOF,yearID
3,FieldingOF,stint
4,FieldingOF,Glf
5,FieldingOF,Gcf
6,FieldingOF,Grf
1,FieldingPost,playerID
2,FieldingPost,yearID
3,FieldingPost,teamID
4,FieldingPost,lgID
5,FieldingPost,round
6,FieldingPost,POS
7,FieldingPost,G
8,FieldingPost,GS
9,FieldingPost,InnOuts
10,FieldingPost,PO
11,FieldingPost,A
12,FieldingPost,E
13,FieldingPost,DP
14,FieldingPost,TP
15,FieldingPost,PB
16,FieldingPost,SB
17,FieldingPost,CS
1,HallOfFame,hofID
2,HallOfFame,yearID
3,HallOfFame,votedBy
4,HallOfFame,ballots
5,HallOfFame,needed
6,HallOfFame,votes
7,HallOfFame,inducted
8,HallOfFame,category
1,Managers,managerID
2,Managers,yearID
3,Managers,teamID
4,Managers,lgID
5,Managers,inseason
6,Managers,G
7,Managers,W
8,Managers,L
9,Managers,rank
10,Managers,plyrMgr
1,ManagersHalf,managerID
2,ManagersHalf,yearID
3,ManagersHalf,teamID
4,ManagersHalf,lgID
5,ManagersHalf,inseason
6,ManagersHalf,half
7,ManagersHalf,G
8,ManagersHalf,W
9,ManagersHalf,L
10,ManagersHalf,rank
1,Master,lahmanID
2,Master,playerID
3,Master,managerID
4,Master,hofID
5,Master,birthYear
6,Master,birthMonth
7,Master,birthDay
8,Master,birthCountry
9,Master,birthState
10,Master,birthCity
11,Master,deathYear
12,Master,deathMonth
13,Master,deathDay
14,Master,deathCountry
15,Master,deathState
16,Master,deathCity
17,Master,nameFirst
18,Master,nameLast
19,Master,nameNote
20,Master,nameGiven
21,Master,nameNick
22,Master,weight
23,Master,height
24,Master,bats
25,Master,throws
26,Master,debut
27,Master,finalGame
28,Master,college
29,Master,lahman40ID
30,Master,lahman45ID
31,Master,retroID
32,Master,holtzID
33,Master,bbrefID
1,Pitching,playerID
2,Pitching,yearID
3,Pitching,stint
4,Pitching,teamID
5,Pitching,lgID
6,Pitching,W
7,Pitching,L
8,Pitching,G
9,Pitching,GS
10,Pitching,CG
11,Pitching,SHO
12,Pitching,SV
13,Pitching,IPouts
14,Pitching,H
15,Pitching,ER
16,Pitching,HR
17,Pitching,BB
18,Pitching,SO
19,Pitching,BAOpp
20,Pitching,ERA
21,Pitching,IBB
22,Pitching,WP
23,Pitching,HBP
24,Pitching,BK
25,Pitching,BFP
26,Pitching,GF
27,Pitching,R
1,PitchingPost,playerID
2,PitchingPost,yearID
3,PitchingPost,round
4,PitchingPost,teamID
5,PitchingPost,lgID
6,PitchingPost,W
7,PitchingPost,L
8,PitchingPost,G
9,PitchingPost,GS
10,PitchingPost,CG
11,PitchingPost,SHO
12,PitchingPost,SV
13,PitchingPost,IPouts
14,PitchingPost,H
