,teamID,franchID,name,city,state,primary_franchise,Active
1,BS1,BNA,Boston Red Stockings,Boston,MA,Boston Red Stockings,NA
2,CH1,CNA,Chicago White Stockings,Chicago,IL,Chicago White Stockings (defunct),NA
3,CL1,CFC,Cleveland Forest Citys,Cleveland,OH,Cleveland Forest Citys,NA
4,FW1,KEK,Fort Wayne Kekiongas,Fort Wayne,IN,Fort Wayne Kekiongas,NA
5,NY2,NNA,New York Mutuals,New York,NY,New York Mutuals,NA
6,PH1,PNA,Philadelphia Athletics,Philadelphia,PA,Philadelphia Athletics (defunct),NA
7,RC1,ROK,Rockford Forest Citys,Rockford,IL,Rockford Forest Citys,NA
8,TRO,TRO,Troy Haymakers,Troy,NY,Troy Haymakers,NA
9,WS3,OLY,Washington Olympics,Washington DC,DC,Washington Olympics,NA
10,BL1,BLC,Baltimore Canaries,Baltimore,MD,Baltimore Canaries,NA
11,BR1,ECK,Brooklyn Eckfords,Brooklyn,NY,Brooklyn Eckfords,NA
12,BR2,BRA,Brooklyn Atlantics,Brooklyn,NY,Brooklyn Atlantics,NA
13,MID,MAN,Middletown Mansfields,Middletown,CT,Middletown Mansfields,NA
14,WS4,NAT,Washington Nationals,Washington DC,DC,Washington Nationals (defunct),NA
15,BL4,MAR,Baltimore Marylands,Baltimore,MD,Baltimore Marylands,NA
16,ELI,RES,Elizabeth Resolutes,Elizabeth,NJ,Elizabeth Resolutes,NA
17,PH2,PWS,Philadelphia Whites,Philadelphia,PA,Philadelphia Whites,NA
18,WS5,WBL,Washington Blue Legs,Washington DC,DC,Washington Blue Legs,NA
19,CH2,CNA,Chicago White Stockings,Chicago,IL,Chicago White Stockings (defunct),NA
20,HR1,HNA,Hartford Dark Blues,Hartford,CT,Hartford Dark Blues,NA
21,KEO,WES,Keokuk Westerns,Keokuk,IA,Keokuk Westerns,NA
22,NH1,NHV,New Haven Elm Citys,New Haven,CT,New Haven Elm Citys,NA
23,PH3,CEN,Philadelphia Centennials,Philadelphia,PA,Philadelphia Centennials,NA
24,SL1,SLR,St. Louis Red Stockings,St. Louis,MO,St. Louis Red Stockings,NA
25,SL2,SNA,St. Louis Brown Stockings,St. Louis,MO,St. Louis Brown Stockings,NA
26,WS6,WNT,Washington Nationals,Washington DC,DC,Washington Nationals (defunct),NA
27,BSN,ATL,Boston Red Caps,Boston,MA,Atlanta Braves,Y
28,CHN,CHC,Chicago White Stockings,Chicago,IL,Chicago Cubs,Y
29,CN1,CNR,Cincinnati Reds,Cincinnati,OH,Cincinnati Reds (defunct),N
30,HAR,HAR,Hartford Dark Blues,Hartford,CT,Hartford Dark Blues,N
31,LS1,LGR,Louisville Grays,Louisville,KY,Louisville Grays,N
32,NY3,NYU,New York Mutuals,New York,NY,New York Mutuals,N
